CMS_ID,Channel display name,Channel ID
1,POPS MUSIC,UgXK2UjZ8G_EM438aYkGrw
1,POPS Music - Bolero,NbN0PXZeHD3gQAqV1dE9mg
1,POPS Drama,pHLsMt9IkuItftX7nhTBzg
1,Nhạc Sàn,f1FcgGbvXd7NMak1mq7QAQ
1,POPS Music - Quê Hương,uSQdqgTVsVU85PBlsWmibQ
1,VPOP Plus,j5o5u8CprXYrwTXMJxA8Tw
1,Mic Hát,_ccTaL4kIuAkKOau-hJz6w
1,Tuyệt Phẩm Bolero,2jFHQpJj0j8omCpYYgUcIA
1,Đỉnh Cao Nhạc Mộc,Ed9LOLoVl-QMVMw4aRtTuw
1,POPS Worldwide,Ye7X1b4oRCqKnxEUZDm_wA
2,POPS Kids,5ezaYrzZpyItPSRG27MLpg
2,POPS Anime,kgdDBHO7zl3tWIjldQeK7g
2,POPS Baby,7T_bNunNC25G3odVRs_-Eg
2,POPS KIDS MUSIC,JSqD3sSdMr0mnSwv-_gD4Q
2,POPS Up,jGZoFtIH9O9Ssvb7FsQOOQ
3,POPS TV VIETNAM,6K3k5O0Dogk1v00beoGMTw
3,Her Voice,IpCJRbm4uwx-Yx7oerY-hg
3,TƯƠI XANH,T6xJrO6UwuSahqk9kLG5pA
3,POPS Cam,xUTC85GxHI4ZkPn6YvaC4g
3,Beauty Me,HK7X17qxIEnCeOlM1xvrCA
3,POPS WORLDWIDE,WRQxDOjKB8zZH8BhggdOVA
